phrase, score
you so much and, 12
you so we miss you, 12
you now and always will, 12
you both no one will, 12
you for a, 12
you for a little while, 12
you for all the happy, 12
you for the days, 12
you for the love and, 12
you for being, 12
you for as long as, 12
you need is love, 12
you dearly in death we, 12
you have reached the mountain, 12
you but you didn't go, 12
you forever in our hearts, 12
you forever from your wife, 12
you we love you we, 12
you we miss, 12
you we miss you to, 12
you we miss you -, 12
you is easy we, 12
you and we miss, 12
you live live the life, 12
you on the other side, 12
you all about it when, 12
you must always remember you, 12
you think of me i'm, 12
you lately that i, 12
you yesterday love you still, 12
you still always have, 12
you still live on in, 12
you begin to climb and, 12
you enjoy the view, 12
you enjoy the view as, 12
you enjoy it too the, 12
you believe stronger than you, 12
you seem and smarter than, 12
you want? to call myself, 12
their lives in defence of, 12
their lives for their country, 12
their children grandchildren, 12
their children grandchildren and great, 12
their children grandchildren & great, 12
their last and gardened as, 12
their daughter and, 12
their country in time of, 12
their dedicated work in protecting, 12
their little piece of heaven, 12
support to queens hospital, 12
it were their last and, 12
it too the ward family, 12
it simply means we, 12
it simply means we will, 12
it when i see you, 12
it rains look for rainbows, 12
children grandchildren and great, 12
children grandchildren and great grandchildren, 12
children grandchildren & great grandchildren, 12
children and grandchildren in, 12
children and grandchildren in loving, 12
children especially your grandson mark, 12
hand and eternity in an, 12
all you need is, 12
all who knew her in, 12
all who love london, 12
all who love london as, 12
all who sit here enjoy, 12
all who loved her, 12
all who loved him, 12
all who rest, 12
all that knew him, 12
all his friends at the, 12
all his friends and family, 12
all his friends in, 12
all his family in, 12
all his family & friends, 12
all his family forever, 12
all his colleagues at holme, 12
all the women and, 12
all the wonderful, 12
all the wonderful times, 12
all the wonderful times they, 12
all the family and, 12
all the family xxx, 12
all the love laughter and, 12
all the memories we, 12
all the memories we have, 12
all the members of, 12
all the members of the, 12
all the people of, 12
all the time and everywhere, 12
all your family & friends, 12
all your grandchildren and great, 12
all your loving family, 12
all share with monique hunter, 12
all those we have loved, 12
all those she touched and, 12
all our love karen mum, 12
all our love from, 12
all our love mum, 12
all our hearts forever, 12
all forever in our, 12
all forever in our hearts, 12
all to enjoy in memory, 12
all her loving family, 12
all unseen unheard you, 12
all things will come to, 12
all things bright and beautiful, 12
all good things come to, 12
all in loving, 12
all about it when i, 12
all and was loved by, 12
all family & friends, 12
all creatures passionate cricketer veteran, 12
all shall be well and, 12
see you in, 12
see you in the, 12
see you on the, 12
see you you are always, 12
see a world in a, 12
see so long lives, 12
sweet the moonlight sleeps upon, 12
sweet prince and flights of, 12
are always with, 12
are always with us, 12
are always with you, 12
are always with you your, 12
are always in my thoughts, 12
are always near so loved, 12
are always near still loved, 12
are always near still missed, 12
are forever in our thoughts, 12
are the pure in heart, 12
are the diamond glints on, 12
are the wind beneath our, 12
are all together again, 12
are a gift to treasure, 12
are not forever goodbyes are, 12
are not the end it, 12
are not the end they, 12
are not loved and, 12
are fondly remembered by all, 12
are in our, 12
are those we take for, 12
are made on and, 12
are never far, 12
are deeply missed but will, 12
are absent one from the, 12
are braver than you believe, 12
are ever near still missed, 12
are dedicated to the, 12
are and our lives are, 12
are pain free now so, 12
are special people in our, 12
home in loving memory of, 12
home is the sailor, 12
home is the sailor home, 12
home my peace my joy, 12
home to rest, 12
home to sidmouth beloved husband, 12
andrew littell 1968-2012 remembered with, 12
jones 1945 - 2007 from, 12
jones who loved this place, 12
jones who spent many happy, 12
jones of flint who spent, 12
jones 16th june 1933 -, 12
jones for the enjoyment of, 12
1970 in rememberance of past, 12
2008 who loved, 12
2008 from your friends, 12
2008 always in our, 12
2008 always in our hearts, 12
2008 always loved never forgotten, 12
2008 forever in, 12
2008 installed by british waterways, 12
2008 wish you were here, 12
very much missed and loved, 12
very special person who will, 12
very special husband dad and, 12
very special teacher colleague and, 12
very fond memories of, 12
very dear husband father, 12
very dear husband dad and, 12
very sadly missed, 12
very loving memory of, 12
very loving memory of denis, 12
missed by her husband and, 12
missed by her family friends, 12
missed by his family he, 12
missed by his family &, 12
missed by his wife family, 12
missed by his friends, 12
missed by all of their, 12
missed by all of his, 12
missed by all those who, 12
missed by all at, 12
missed by all your friends, 12
missed by all her loving, 12
missed by all her friends, 12
missed by all in loving, 12
missed by all family, 12
missed by all family &, 12
missed by all that knew, 12
missed by family friends, 12
missed by so, 12
missed by everyone who knew, 12
missed and always loved, 12
missed and never forgotten by, 12
missed and loved husband dad, 12
missed and with us here, 12
missed and forever in, 12
missed & loved by all, 12
missed always in, 12
missed always in our thoughts, 12
missed always loved never forgotten, 12
missed with love from, 12
missed so much by us, 12
missed so loved so, 12
missed but never forgotten "rest, 12
missed but will remain, 12
missed but will remain forever, 12
missed but forever in our, 12
missed but very dear, 12
missed in loving memory, 12
missed in loving memory of, 12
missed in memory of, 12
missed husband dad &, 12
missed husband father and grandfather, 12
missed husband father and grandad, 12
missed dad grandad and, 12
missed loved and always dear, 12
tony mulhere 17th january 1973, 12
clark the residents and many, 12
clark nÉe younger beloved wife, 12
clark and daughter of robert, 12
view and you will know, 12
view from here, 12
view as much, 12
view we hope that you, 12
yesterday love you still always, 12
today and every day, 12
sit and enjoy this, 12
sit and enjoy this view, 12
sit and enjoy her, 12
sit and remember the good, 12
sit and remember good times, 12
sit and let the, 12
sit and let the sounds, 12
sit and rest enjoy the, 12
sit and think of you, 12
sit and look at the, 12
sit a while and think, 12
sit a while and smile, 12
sit a while and rest, 12
sit a while enjoy the, 12
sit a while enjoy and, 12
sit a while smile and, 12
sit a while &, 12
sit here and remember, 12
sit here and watch, 12
sit here in, 12
sit here in peace, 12
sit here in peace and, 12
sit here in this special, 12
sit here a while, 12
sit here awhile and, 12
sit here knowing you are, 12
sit awhile and remember, 12
sit awhile and think of, 12
sit awhile and consider life's, 12
sit awhile rest and enjoy, 12
sit awhile with, 12
sit in a garden he, 12
sit in the shade, 12
sit in the sunshine, 12
sit in loving memory of, 12
sit back and enjoy the, 12
sit back relax and, 12
sit with me and enjoy, 12
sit on this bench, 12
sit on my bench, 12
sit on my bench and, 12
sit by the sea, 12
sit by here everyday to, 12
sit relax enjoy and please, 12
sit relax and enjoy the, 12
sit & enjoy the view, 12
sit beside us everyday in, 12
enjoy the view that, 12
enjoy the view as we, 12
enjoy the view just, 12
enjoy the view just like, 12
enjoy the view", 12
enjoy the beauty of nature, 12
enjoy the sights and, 12
enjoy these lovely gardens, 12
enjoy this view, 12
enjoy this view as, 12
enjoy it too, 12
enjoy it too the ward, 12
enjoy his favourite view, 12
enjoy and share the river, 12
never tired of this view, 12
never forgotten by all, 12
never forgotten and always, 12
never forgotten forever in, 12
never forgotten "rest enjoy and, 12
never forgotten in loving, 12
never be forgotten january 19th, 12
never be forgotten forever in, 12
never to be forgotten always, 12
never far away, 12
never part god has you, 12
never happier than when in, 12
nora ulf flash truls christina, 12
lift up mine eyes unto, 12
up mine eyes unto the, 12
up and doing with a, 12
up our lives, 12
up the world with your, 12
mine eyes unto the hills, 12
eyes can see so, 12
hills will lift mine eyes, 12
my dear mum & dad, 12
my dear wife marjorie, 12
my dear wife joan, 12
my dear wife johanna she, 12
my dear husband arthur, 12
my dear husband james, 12
my dear husband john, 12
my dear parents alan and, 12
my wife and best friend, 12
my mum and dad, 12
my beloved wife barbara koerner, 12
my lovely mum mrs betty, 12
my life i love you, 12
my heart until we, 12
my heart until we meet, 12
my world my home my, 12
my home my peace my, 12
my peace my joy my, 12
my joy my love xxx, 12
my loving husband and best, 12
my bench and weep i'm, 12
david t mcdonald (1896-1959) dr, 12
c 1942 they were reinstated, 12
pass through this world but, 12
had a heart of gold, 12
had a bite in memory, 12
had everything to live for, 12
